Airport,AIRLINE OPERATOR,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,TOTAL
Caticlan,cebu,479900,,601033,393907,549372,674938,539912,383809,381422,311121,214979,329245,4859638
Caticlan,Cebgo,41156,,71677,59268,69463,89467,80506,58781,67263,51155,41145,48803,678684
Caticlan,airasia,251619,,331051,351019,356207,340894,329975,350185,354001,297561,206856,241107,3410475
Caticlan,royal air,40659,,105261,58745,65742,63057,65119,68185,101691,95931,53678,59067,777135
Caticlan,sunlight express,951,,,,,,,,,,,,951
Caticlan,airswift,16457,,15428,10127,15006,23839,22134,13462,,15332,6883,17846,156514
Iloilo Dom.,PAL,81865,54315,42904,38917,32172,128882,104454,47680,40863,38501,43754,32856,687163
Iloilo Dom.,Cebu Pac.,"109,391","106,548",78946,92742,139996,171807,119843,12408,98759,199772,155509,124661,1410382
Iloilo Dom.,airasia/zest air,"10,197","10,108",5244,5485,6866,23998,13615,6488,8973,9329,958,6546,107807
Iloilo Dom.,cebgo,,,,243,,4296,30,5638,68,,1348,613,12236
Kalibo (Domestic),PAL,22749,38780,31344,26307,27983,24382,27860,23011,21972,23066,24977,29675,322106
Kalibo (Domestic),Cebu Pac.,15355,16229,16069,8831,11612,12076,14499,10869,12430,9319,7324,24611,159224
Kalibo (Domestic),Air Asia/Zest,68069,86041,67154,57099,74284,63440,84130,83296,79367,59550,58369,83499,864298
Roxas,pal,77986,82642,78395,69432,79592,74866,78268,74669,84891,83780,74222,63184,921927
